2022-11-14-20:41:36.80,1,7.54,16.81,18.29,6.77,23.59,17.28,11.83,16.61,13.08
2022-11-14-20:41:37.76,1,7.54,16.81,18.31,6.82,23.52,17.28,11.83,16.55,13.02
2022-11-14-20:41:38.88,1,7.59,16.77,18.29,6.84,23.63,17.23,11.94,16.62,13.06
2022-11-14-20:41:39.129,1,7.63,16.79,18.31,6.89,23.53,17.27,11.90,16.63,13.00
2022-11-14-20:41:40.154,1,7.66,16.81,18.33,6.89,23.55,17.24,11.95,16.58,13.08
2022-11-14-20:41:41.126,1,7.63,16.84,18.36,6.92,23.56,17.27,11.95,16.60,13.09
2022-11-14-20:41:42.138,1,7.71,16.84,18.36,6.92,23.56,17.24,11.86,16.64,12.94
2022-11-14-20:41:43.157,1,7.71,16.84,18.40,6.94,23.57,17.26,11.94,16.63,13.00
2022-11-14-20:41:44.163,0,7.52,16.61,18.15,6.82,23.26,17.14,11.93,16.67,13.13
2022-11-14-20:41:45.178,0,7.71,16.84,18.38,6.96,23.54,17.25,11.94,16.68,13.09
2022-11-14-20:41:46.189,0,7.75,16.84,18.38,6.99,23.50,17.23,11.79,16.64,13.13
2022-11-14-20:41:47.202,0,7.78,16.88,18.38,7.06,23.66,17.21,11.97,16.61,13.09
2022-11-14-20:41:48.216,0,7.80,16.81,18.36,7.06,23.56,17.20,11.86,16.56,13.11
2022-11-14-20:41:49.256,0,7.83,16.84,18.36,7.08,23.56,17.19,11.82,16.63,13.13
2022-11-14-20:41:50.240,0,7.75,16.77,18.29,7.16,23.56,17.14,11.90,16.59,13.11
2022-11-14-20:41:51.281,0,7.87,16.84,18.24,7.18,23.56,17.17,11.77,16.55,13.08
2022-11-14-20:41:52.264,0,7.94,16.79,18.20,7.18,23.53,17.12,11.77,16.55,13.03
2022-11-14-20:41:53.277,0,7.71,16.56,18.02,7.04,23.12,17.14,11.84,16.54,13.05
2022-11-14-20:41:54.292,0,7.99,16.72,18.13,7.25,23.55,17.11,11.85,16.49,13.05
2022-11-14-20:41:55.305,0,8.02,16.72,18.13,7.30,23.54,17.07,11.82,16.53,13.10
2022-11-14-20:41:56.316,0,8.02,16.68,18.08,7.30,23.58,17.12,11.80,16.50,13.02
2022-11-14-20:41:57.330,0,8.06,16.70,18.06,7.32,23.54,17.07,11.77,16.47,13.07
2022-11-14-20:41:58.345,0,8.09,16.68,18.08,7.35,23.57,17.11,11.90,16.55,13.06
2022-11-14-20:41:59.353,0,8.11,16.65,18.04,7.35,23.51,17.07,11.83,16.46,13.08
2022-11-14-20:42:0.372,0,7.94,16.52,17.90,7.30,23.20,16.80,11.68,16.20,12.82
2022-11-14-20:42:1.407,0,8.18,16.63,18.04,7.44,23.74,17.09,12.01,16.50,13.13
